,Date,TotalCash,TotalValue
0,2000-01-03,100000.0,100000.0
1,2000-01-04,100000.0,100000.0
2,2000-01-05,100000.0,100000.0
3,2000-01-06,100000.0,100000.0
4,2000-01-07,100000.0,100000.0
5,2000-01-10,100000.0,100000.0
6,2000-01-11,100000.0,100000.0
7,2000-01-12,100000.0,100000.0
8,2000-01-13,100000.0,100000.0
9,2000-01-14,100000.0,100000.0
10,2000-01-18,100000.0,100000.0
11,2000-01-19,100000.0,100000.0
12,2000-01-20,100000.0,100000.0
13,2000-01-21,100000.0,100000.0
14,2000-01-24,100000.0,100000.0
15,2000-01-25,100000.0,100000.0
16,2000-01-26,100000.0,100000.0
17,2000-01-27,100000.0,100000.0
18,2000-01-28,100000.0,100000.0
19,2000-01-31,100000.0,100000.0
20,2000-02-01,100000.0,100000.0
21,2000-02-02,100000.0,100000.0
22,2000-02-03,100000.0,100000.0
23,2000-02-04,99903.0,99999.84375
24,2000-02-07,99903.0,99998.5
25,2000-02-08,99903.0,99994.375
26,2000-02-09,99903.0,99998.0
27,2000-02-10,99903.0,99994.75
28,2000-02-11,99903.0,99997.125
29,2000-02-14,99903.0,99997.25
30,2000-02-15,99903.0,99996.53125
31,2000-02-16,99903.0,99997.0
32,2000-02-17,99903.0,99994.875
33,2000-02-18,99903.0,99998.5625
34,2000-02-22,99903.0,99998.25
35,2000-02-23,99903.0,99992.75
36,2000-02-24,99903.0,99990.5
37,2000-02-25,99903.0,99992.9375
38,2000-02-28,99903.0,99993.0
39,2000-02-29,99903.0,99990.25
40,2000-03-01,99903.0,99989.375
41,2000-03-02,99903.0,99991.8671875
42,2000-03-03,99903.0,99985.9375
43,2000-03-06,99903.0,99985.0625
44,2000-03-07,99903.0,99986.75
45,2000-03-08,99903.0,99985.75
46,2000-03-09,99903.0,99982.0
47,2000-03-10,99903.0,99982.5
48,2000-03-13,99903.0,99985.5
49,2000-03-14,99903.0,99989.625
50,2000-03-15,99903.0,99994.125
51,2000-03-16,99903.0,99988.25
52,2000-03-17,99903.0,99986.1875
53,2000-03-20,99903.0,99989.3125
54,2000-03-21,99903.0,99985.25
55,2000-03-22,99903.0,99983.0
56,2000-03-23,99903.0,99981.0
57,2000-03-24,99903.0,99979.4375
58,2000-03-27,99903.0,99979.25
59,2000-03-28,99903.0,99982.25
60,2000-03-29,99903.0,99987.0
61,2000-03-30,99903.0,99989.75
62,2000-03-31,99903.0,99987.5
63,2000-04-03,99903.0,99994.0625
64,2000-04-04,99903.0,99995.0625
65,2000-04-05,99903.0,99997.875
66,2000-04-06,99903.0,99995.5
