,Date,Positive,Negative
0,2000-02-04,0.5,
1,2000-04-05,,-5.25
2,2000-06-05,,-4.625
3,2000-07-31,9.8125,
4,2000-08-24,,-3.9375
5,2000-09-12,,-25.359375
6,2001-01-19,,-9.890625
7,2001-02-09,,-12.150001525878913
8,2001-04-19,,-1.559997558593743
9,2001-05-31,,-1.0100021362304616
10,2001-08-03,,-4.889999389648445
11,2001-08-16,,-4.30999755859375
12,2001-10-12,5.149997711181641,
13,2002-01-17,,-2.549999237060547
14,2002-03-05,,-1.6300010681152344
15,2002-04-03,,-11.170000076293945
16,2002-08-16,,-1.4699993133544922
17,2002-09-06,0.7800006866455078,
18,2002-10-15,1.7799987792968714,
19,2002-12-16,1.1700000762939524,
20,2003-01-08,,-2.3299999237060582
21,2003-01-31,1.6700000762939453,
22,2003-03-14,4.630001068115231,
23,2003-08-06,1.7500000000000036,
24,2003-08-19,0.779998779296875,
25,2003-09-26,2.25,
26,2003-10-13,,-1.1300010681152344
27,2003-11-19,1.9500007629394531,
28,2003-12-26,0.9500007629394531,
29,2004-02-03,0.09999847412109375,
30,2004-04-05,,-1.3499984741210938
31,2004-04-30,0.6300010681152344,
32,2004-05-27,,-0.3300018310546875
33,2004-07-07,,-1.5200004577636719
34,2004-09-03,4.240001678466797,
35,2005-01-05,,-0.6500015258788991
36,2005-02-16,,-1.4199981689453196
37,2005-03-17,,-0.3699989318847656
38,2005-05-16,1.1399993896484375,
39,2005-06-24,0.7399978637695312,
40,2005-07-12,0.7999992370605469,
41,2005-08-17,0.7100028991699219,
42,2005-09-12,,-1.2299995422363281
43,2005-10-07,1.3400001525878906,
44,2005-11-03,1.2099990844726562,
45,2005-12-20,1.7299995422363281,
46,2006-01-09,,-1.9599990844726562
47,2006-02-06,1.1299972534179616,
48,2006-03-16,,-0.22999954223632102
49,2006-05-02,,-2.979999542236328
50,2006-07-05,,-2.0
51,2006-07-13,1.3400001525878906,
52,2006-08-16,5.420001983642578,
53,2006-12-22,1.30999755859375,
54,2007-01-11,,-1.55999755859375
55,2007-02-28,1.55999755859375,
56,2007-04-09,2.6800003051757812,
57,2007-08-01,1.5400009155273438,
58,2007-09-04,1.7999992370605469,
59,2007-11-09,1.5600013732910156,
60,2007-12-07,,-3.8899993896484375
61,2008-01-07,,-3.700000762939453
62,2008-03-25,3.009998321533203,
63,2008-06-12,,-1.7599983215332031
64,2008-08-06,,-0.5
65,2008-09-03,,-15.200000762939453
66,2008-12-17,,-1.6800003051757812
67,2009-01-15,2.8199996948242223,
68,2009-02-09,,-3.3799991607666016
69,2009-02-24,1.1999988555908168,
70,2009-03-18,5.530002593994141,
71,2009-07-08,2.009998321533203,
72,2009-07-16,4.25,
73,2009-11-02,2.4599990844726562,
74,2009-11-10,0.970001220703125,
75,2010-01-25,1.1399993896484375,
76,2010-03-02,2.3499984741210938,
77,2010-05-05,,-1.339996337890625
78,2010-06-16,,-3.3500022888183594
79,2010-06-30,2.229999542236328,
80,2010-07-23,,-1.4899978637695312
81,2010-08-24,2.6899986267089844,
82,2010-09-09,9.15999984741211,
83,2011-03-11,1.7999992370605469,
84,2011-04-04,,-0.55999755859375
85,2011-05-24,0.020000457763671875,
86,2011-07-01,,-0.7400016784667969
87,2011-08-03,,-1.1399993896484375
88,2011-09-01,,-3.1800003051757812
89,2011-10-03,5.799999237060547,
90,2011-10-14,,-1.9799995422363281
91,2011-11-18,1.1800003051757812,
92,2012-01-05,9.689998626708984,
93,2012-04-11,,-3.979999542236328
94,2012-06-18,4.509998321533203,
