,Date,Open,High,Low,Close,Indicator_1,Indicator_2,BuySignal,SellSignal
0,2000-01-03,96.1875,96.1875,90.75,94.75,,,,
1,2000-01-04,92.0,93.5,87.9375,88.25,,,,
2,2000-01-05,87.5,89.625,84.25,86.0,,,,
3,2000-01-06,86.875,88.0,79.75,80.09375,,,,
4,2000-01-07,82.9375,90.0,82.5,90.0,,,,
5,2000-01-10,91.0,93.9375,89.9375,92.5,,,,
6,2000-01-11,91.75,92.875,87.0,88.0,,,,
7,2000-01-12,89.0,89.2421875,86.0,86.0625,,,,
8,2000-01-13,88.5,91.5,87.078125,91.25,,,,
9,2000-01-14,93.0,93.625,92.0,93.375,,,,
10,2000-01-18,92.0625,94.4375,91.4375,93.875,,,,
11,2000-01-19,93.4921875,96.0,92.4296875,96.0,,,,
12,2000-01-20,95.5,96.875,94.0078125,95.0625,,,,
13,2000-01-21,96.5,96.5625,95.0625,96.25,,,,
14,2000-01-24,97.4375,97.625,90.96875,91.625,,,,
15,2000-01-25,91.875,94.1171875,89.40625,93.0,,,,
16,2000-01-26,93.25,93.3125,89.0,89.25,,,,
17,2000-01-27,91.75,92.5,87.625,90.5625,,,,
18,2000-01-28,90.0,90.46875,84.75,86.0,,,,
19,2000-01-31,85.875,90.0,83.5,89.6875,90.5796875,,,
20,2000-02-01,89.53125,92.5,88.4375,92.09375,90.446875,,,
21,2000-02-02,92.25,94.71875,92.09375,92.875,90.678125,,,
22,2000-02-03,94.3125,96.625,92.28125,96.5,91.203125,,,
23,2000-02-04,97.0,98.2421875,96.21875,97.15625,92.05625,,,
24,2000-02-07,97.25,98.625,96.25,98.5,92.48125,,,
25,2000-02-08,99.375,102.875,99.375,102.625,92.9875,,,
26,2000-02-09,102.0625,102.1953125,98.75,99.0,93.5375,,,
27,2000-02-10,99.8125,102.25,98.5546875,102.25,94.346875,,,
28,2000-02-11,102.0625,102.0625,98.0,99.875,94.778125,,,
29,2000-02-14,99.9921875,100.0,97.75,99.75,95.096875,,,
30,2000-02-15,98.9375,100.625,95.875,100.46875,95.4265625,,,
31,2000-02-16,99.90625,101.6875,99.3125,100.0,95.6265625,,,
32,2000-02-17,101.1875,103.25,99.625,102.125,95.9796875,,,
33,2000-02-18,102.625,103.0,98.4375,98.4375,96.0890625,,,
34,2000-02-22,99.0,99.9375,96.25,98.75,96.4453125,,,
35,2000-02-23,99.6796875,105.0,99.15625,104.25,97.0078125,,,
36,2000-02-24,104.875,106.8046875,102.0,106.5,97.8703125,,,
37,2000-02-25,106.1875,107.5,103.875,104.0625,98.5453125,,,
38,2000-02-28,103.25,105.6875,100.5,104.0,99.4453125,,,
39,2000-02-29,105.75,107.09375,104.9375,106.75,100.2984375,,,
40,2000-03-01,107.25,108.5625,106.5,107.625,101.075,,,
41,2000-03-02,108.0625,108.1875,104.75,105.1328125,101.687890625,,,
42,2000-03-03,108.0,111.125,107.0,111.0625,102.416015625,,,
43,2000-03-06,111.75,113.21875,110.25,111.9375,103.155078125,,,
44,2000-03-07,113.8125,113.875,108.75,110.25,103.742578125,,,
45,2000-03-08,111.0,112.0,106.28125,111.25,104.173828125,,,
46,2000-03-09,111.21875,115.5,109.09375,115.0,104.973828125,,,
47,2000-03-10,114.875,116.4375,113.5078125,114.5,105.586328125,,,
48,2000-03-13,110.0,114.125,109.53125,111.5,106.167578125,,,
49,2000-03-14,112.75,113.375,105.0,107.375,106.548828125,,,
50,2000-03-15,106.5,107.0,101.875,102.875,106.669140625,,,
51,2000-03-16,105.375,109.25,101.0,108.75,107.106640625,,,
52,2000-03-17,108.0,111.0625,107.9375,110.8125,107.541015625,,,
53,2000-03-20,111.0,111.5,106.25,107.6875,108.003515625,,,
54,2000-03-21,106.125,111.9375,103.5625,111.75,108.653515625,,,
55,2000-03-22,113.5,115.96875,111.125,114.0,109.141015625,,,
56,2000-03-23,114.484375,117.75,113.5625,116.0,109.616015625,,,
57,2000-03-24,117.484375,120.5,115.015625,117.5625,110.291015625,,,
58,2000-03-27,118.0,119.5,117.125,117.75,110.978515625,,,
59,2000-03-28,116.984375,117.8125,113.125,114.75,111.378515625,,,
60,2000-03-29,115.375,115.4375,110.0,110.0,111.497265625,,,
61,2000-03-30,107.25,112.75,103.5,107.25,111.603125,,,
62,2000-03-31,108.140625,110.625,104.0,109.5,111.525,,,
63,2000-04-03,107.765625,109.125,100.75,102.9375,111.075,,,
64,2000-04-04,103.625,103.9375,88.3125,101.9375,110.659375,,,
65,2000-04-05,97.5,103.9375,96.25,100.125,110.103125,,,
66,2000-04-06,102.375,103.875,99.75,102.5,109.478125,,,
67,2000-04-07,104.125,107.375,102.625,106.625,109.084375,,,
68,2000-04-10,107.625,107.6875,99.25,100.125,108.515625,,,
69,2000-04-11,97.125,101.5,95.0625,97.75,108.034375,,,
70,2000-04-12,97.625,98.75,90.25,92.0,107.490625,,,
71,2000-04-13,92.8125,96.0,88.0,88.0,106.453125,,,
72,2000-04-14,86.0625,88.5,78.0,80.375,104.93125,,,
73,2000-04-17,78.015625,90.0,78.0,89.625,104.028125,,,
74,2000-04-18,89.484375,93.0,87.375,92.0,103.040625,,,
75,2000-04-19,92.5,93.625,89.0625,89.1875,101.8,,,
76,2000-04-20,90.375,90.96875,86.0625,87.25,100.3625,,,
77,2000-04-24,83.4375,85.25,79.875,84.75,98.721875,,,
78,2000-04-25,86.5,90.5,86.0,90.46875,97.3578125,,,
79,2000-04-26,90.625,92.421875,87.125,87.375,95.9890625,,,
80,2000-04-27,84.0,92.484375,82.25,91.25,95.0515625,,,
81,2000-04-28,93.5625,94.75,92.125,94.75,94.4265625,,,
82,2000-05-01,95.75,96.875,94.25,95.625,93.7328125,,,
83,2000-05-02,94.875,95.625,89.75,90.125,93.0921875,,,
84,2000-05-03,89.5,90.25,85.515625,89.125,92.4515625,,,
85,2000-05-04,89.0,90.75,87.625,89.3125,91.9109375,,,
86,2000-05-05,88.125,92.3125,88.03125,91.4375,91.3578125,,,
87,2000-05-08,90.5,90.75,87.75,87.875,90.4203125,,,
88,2000-05-09,88.5,89.125,84.3125,86.0,89.7140625,,,
89,2000-05-10,84.375,84.984375,79.5,79.75,88.8140625,,,
90,2000-05-11,82.75,85.25,80.875,84.625,88.4453125,,,
91,2000-05-12,85.375,87.5625,84.0,84.625,88.2765625,,,
92,2000-05-15,84.8125,88.625,82.625,88.3125,88.6734375,,,
93,2000-05-16,90.0,91.5,88.0625,90.8125,88.7328125,,,
94,2000-05-17,89.25,90.5,87.75,88.9375,88.5796875,,,
95,2000-05-18,89.0,89.359375,85.375,85.75,88.4078125,,,
96,2000-05-19,83.75,85.0,81.3125,81.6875,88.1296875,,,
97,2000-05-22,81.625,82.25,75.578125,81.625,87.9734375,,,
98,2000-05-23,81.375,82.625,74.25,74.8125,87.190625,,,
99,2000-05-24,75.0,79.875,72.25,79.5,86.796875,,,
100,2000-05-25,80.25,82.25,76.5,77.75,86.121875,,,
101,2000-05-26,77.75,79.25,75.75,77.75,85.271875,,,
102,2000-05-30,80.0,85.9375,80.0,85.5625,84.76875,,,
103,2000-05-31,84.46875,86.671875,82.75,83.125,84.41875,,,
104,2000-06-01,85.1875,88.375,84.0,87.375,84.33125,,,
105,2000-06-02,92.625,93.9375,82.5,93.625,84.546875,,,
106,2000-06-05,92.25,95.3125,91.875,93.859375,84.66796875,,,
107,2000-06-06,93.1875,95.0,90.875,91.25,84.83671875,,,
108,2000-06-07,91.5625,94.0,89.5625,93.6875,85.22109375,,,
109,2000-06-08,94.625,94.875,91.625,93.25,85.89609375,,,
110,2000-06-09,94.75,94.75,93.0,93.75,86.35234375,,,
111,2000-06-12,94.3125,94.3125,90.0,90.75,86.65859375,,,
112,2000-06-13,90.5,94.625,89.359375,94.25,86.95546875,,,
113,2000-06-14,94.875,94.875,91.5,92.125,87.02109375,,,
114,2000-06-15,91.875,93.875,90.875,93.75,87.26171875,,,
115,2000-06-16,94.75,95.3125,93.0625,94.25,87.68671875,,,
116,2000-06-19,94.015625,98.25,92.6875,98.0,88.50234375,,,
117,2000-06-20,98.25,99.6875,97.1875,97.625,89.30234375,,,
118,2000-06-21,96.8125,99.71875,96.6875,98.875,90.50546875,,,
119,2000-06-22,98.625,99.0,94.5,95.25,91.29296875,,,
120,2000-06-23,95.0,95.5,91.375,91.5,91.98046875,,,
121,2000-06-26,93.0625,94.421875,92.0,94.0,92.79296875,,,
122,2000-06-27,93.765625,95.0625,92.375,92.875,93.15859375,,,
123,2000-06-28,92.984375,95.5,92.5,94.0,93.70234375,,,
124,2000-06-29,92.9375,93.375,90.625,91.640625,93.915625,,,
125,2000-06-30,91.8125,93.953125,91.3125,93.4375,93.90625,,,
126,2000-07-03,93.5,95.25,93.25,95.25,93.97578125,,,
127,2000-07-05,93.625,93.96875,90.875,91.5625,93.99140625,,,
128,2000-07-06,91.5625,94.75,90.0625,94.0,94.00703125,,,
129,2000-07-07,95.0,97.0,94.4375,95.9375,94.14140625,,,
130,2000-07-10,94.6875,95.875,94.0,94.484375,94.178125,,,
131,2000-07-11,94.0625,95.75,92.8125,95.0,94.390625,,,
132,2000-07-12,95.4375,97.75,94.625,97.25,94.540625,,,
133,2000-07-13,97.9375,99.75,97.125,98.5,94.859375,,,
134,2000-07-14,100.25,101.125,98.8125,100.625,95.203125,,,
135,2000-07-17,100.9375,102.0625,99.875,101.75,95.578125,,,
136,2000-07-18,100.375,100.78125,98.359375,99.5,95.653125,,,
137,2000-07-19,98.3125,98.9375,95.65625,97.25,95.634375,,,
138,2000-07-20,97.875,100.5,97.265625,100.375,95.709375,,,
139,2000-07-21,98.4375,99.515625,97.0,97.0,95.796875,,,
140,2000-07-24,97.9375,99.0,94.25,95.0,95.971875,,,
141,2000-07-25,95.625,97.0,93.8125,95.75,96.059375,,,
142,2000-07-26,95.5,96.125,93.25,95.625,96.196875,,,
143,2000-07-27,93.9375,95.0625,91.5625,91.875,96.090625,,,
144,2000-07-28,92.1875,92.875,86.0,86.875,95.85234375,,,
145,2000-07-31,87.625,90.125,85.71875,89.4375,95.65234375,,,
146,2000-08-01,89.8125,89.984375,87.6875,88.25,95.30234375,,,
147,2000-08-02,87.875,90.390625,86.5,86.6875,95.05859375,,,
148,2000-08-03,84.25,91.25,83.3125,90.4375,94.88046875,,,
149,2000-08-04,92.0,92.765625,89.125,90.125,94.58984375,,,
150,2000-08-07,90.875,93.03125,90.25,92.25,94.478125,,,
151,2000-08-08,92.0625,94.25,91.5,94.125,94.434375,,,
152,2000-08-09,93.6875,94.4375,91.375,91.625,94.153125,,,
153,2000-08-10,91.8125,92.234375,89.5,89.8125,93.71875,,,
154,2000-08-11,89.25,91.109375,87.875,91.0625,93.240625,,,
