,Date,Open,High,Low,Close,FastSMA,SlowSMA,BuySignal,SellSignal,Volume
0,2000-01-03,148.25,148.25,143.875,145.4375,,,,,8164300
1,2000-01-04,143.53125,144.0625,139.640625,139.75,,,,,8089800
2,2000-01-05,139.9375,141.53125,137.25,140.0,,,,,12177900
3,2000-01-06,139.625,141.5,137.75,137.75,,,,,6227200
4,2000-01-07,140.3125,145.75,140.0625,145.75,,,,,8066500
5,2000-01-10,146.25,146.90625,145.03125,146.25,,,,,5741700
6,2000-01-11,145.8125,146.09375,143.5,144.5,,,,,7503700
7,2000-01-12,144.59375,144.59375,142.875,143.0625,,,,,6907700
8,2000-01-13,144.46875,145.75,143.28125,145.0,,,,,5158300
9,2000-01-14,146.53125,147.46875,145.96875,146.96875,,,,,7437300
10,2000-01-18,145.34375,146.625,145.1875,145.8125,,,,,6488500
11,2000-01-19,145.3125,147.0,145.0,147.0,,,,,6157900
12,2000-01-20,146.96875,146.96875,143.8125,144.75,,,,,5800100
13,2000-01-21,145.5,145.5,144.0625,144.4375,,,,,6244800
14,2000-01-24,145.65625,145.84375,139.40625,140.34375,,,,,7896900
15,2000-01-25,140.515625,141.9375,139.0,141.9375,,,,,9942500
16,2000-01-26,141.0,141.546875,140.09375,140.8125,,,,,5158100
17,2000-01-27,141.84375,142.21875,138.125,140.25,,,,,10922700
18,2000-01-28,139.4375,140.0625,135.53125,135.875,,,,,11916200
19,2000-01-31,135.8125,139.671875,135.0,139.5625,142.7625,,,,10768700
20,2000-02-01,139.75,141.6875,138.53125,140.9375,142.5375,,,,8419900
21,2000-02-02,141.28125,142.25,140.375,141.0625,142.603125,,,,6205900
22,2000-02-03,140.875,143.25,140.0,143.1875,142.7625,,,,7997500
23,2000-02-04,143.1875,144.0,142.125,142.59375,143.0046875,,,,4925400
24,2000-02-07,142.5625,142.78125,141.4375,142.375,142.8359375,,,,5845800
25,2000-02-08,143.96875,144.5625,143.625,144.3125,142.7390625,,,,4936400
26,2000-02-09,144.46875,144.46875,141.265625,141.28125,142.578125,,,,8511500
27,2000-02-10,141.625,142.5625,140.875,141.5625,142.503125,,,,6690600
28,2000-02-11,141.84375,141.9375,138.03125,138.6875,142.1875,,,,9849800
29,2000-02-14,139.78125,139.78125,138.3125,139.5,141.8140625,,,,8528800
30,2000-02-15,139.25,141.21875,137.796875,141.078125,141.57734375,,,,11078300
31,2000-02-16,140.375,140.9375,138.796875,139.0,141.17734375,,,,8845400
32,2000-02-17,140.4375,140.4375,138.21875,138.28125,140.85390625,,,,7584200
