,Date,Positive,Negative
0,2000-02-22,10.625,
1,2000-03-17,,-3.1875
2,2000-04-14,4.84375,
3,2000-06-05,,-3.53125
4,2000-06-30,6.046875,
5,2000-07-13,,-7.046875
6,2000-07-31,7.4375,
7,2000-08-18,,-2.375
8,2000-09-13,,-4.859375
9,2000-11-07,,-8.265625
10,2000-11-21,1.375,
11,2001-01-24,,-4.550003000000004
12,2001-02-12,,-13.409995999999992
13,2001-04-16,5.889999000000003,
14,2001-06-14,,-1.81999900000001
15,2001-08-03,,-5.559997999999993
16,2001-08-20,,-6.850006000000008
17,2001-10-26,,-3.349998999999997
18,2001-11-01,3.75,
19,2001-11-06,1.9800039999999939,
20,2001-12-14,5.369995000000003,
21,2002-01-07,,-3.939994999999996
22,2002-01-17,0.14000000000000057,
23,2002-03-04,,-1.3000040000000013
24,2002-04-04,,-19.760002
25,2002-08-15,,-5.829993999999999
26,2002-09-18,0.40000200000000063,
27,2002-10-16,2.4099959999999925,
28,2002-12-16,3.0800020000000075,
29,2003-01-07,,-7.169999000000004
30,2003-01-27,1.4199990000000042,
31,2003-03-18,9.540000000000006,
32,2003-08-06,4.0,
33,2003-08-19,,-0.25
34,2003-09-26,4.360000999999997,
35,2003-10-14,7.599998999999997,
36,2004-03-11,2.4299999999999926,
37,2004-04-06,,-2.6600039999999865
38,2004-04-30,0.5600049999999896,
39,2004-05-28,,-0.35999999999999943
40,2004-07-06,,-1.4100040000000007
41,2004-08-26,0.05999800000000732,
42,2004-10-15,3.760002,
43,2004-11-04,3.6600030000000032,
44,2005-01-06,1.8099979999999931,
45,2005-02-07,,-1.5400010000000037
46,2005-03-21,0.3099980000000073,
47,2005-05-19,,-0.04999600000000726
48,2005-06-27,3.0199970000000036,
49,2005-07-12,0.20000400000000695,
50,2005-08-17,1.4700019999999938,
51,2005-09-08,,-3.880004999999997
52,2005-10-06,0.3899990000000031,
53,2005-11-02,4.630004999999997,
54,2005-12-30,3.6199949999999887,
55,2006-01-09,,-2.569999999999993
56,2006-02-08,3.2000050000000044,
57,2006-02-17,,-0.27999900000000366
58,2006-04-12,2.9199979999999925,
59,2006-04-21,,-4.340003999999993
60,2006-05-18,0.08000200000000746,
61,2006-07-03,,-3.9100030000000032
62,2006-07-17,4.140006999999997,
63,2006-07-31,13.160003000000003,
64,2007-01-08,2.25,
65,2007-01-16,,-2.680008000000015
66,2007-02-28,3.300003000000004,
67,2007-04-04,5.890000000000015,
68,2007-06-08,4.9900049999999965,
69,2007-07-13,,-6.360000000000014
70,2007-07-27,5.199996999999996,
71,2007-09-19,,-4.550002999999975
72,2007-10-22,,-0.22999599999999987
73,2007-12-06,,-3.7200010000000248
74,2008-01-03,,-7.860000999999983
75,2008-04-02,0.75,
76,2008-05-27,,-10.400001000000003
77,2008-07-31,,-4.110000999999997
78,2008-09-05,,-32.450005000000004
79,2008-12-17,,-6.719993000000002
80,2009-01-15,,-3.19000299999999
81,2009-03-19,8.54000099999999,
82,2009-06-23,3.5299990000000037,
83,2009-07-16,11.129997000000003,
84,2009-11-02,5.870002999999997,
85,2009-11-12,0.20999899999999627,
86,2010-01-25,1.3400040000000075,
87,2010-02-22,5.009994999999989,
88,2010-05-05,,-4.729996
89,2010-06-18,,-7.9100039999999865
90,2010-06-30,6.679999999999993,
91,2010-07-26,,-3.0400000000000063
92,2010-08-20,3.560005000000004,
93,2010-09-10,18.400001000000003,
94,2011-03-11,3.909988999999996,
95,2011-04-04,,-0.9899910000000034
96,2011-05-24,,-0.35000599999997917
97,2011-07-01,,-1.489990000000006
98,2011-07-28,,-8.310005000000004
99,2011-09-01,,-10.180000000000007
100,2011-09-23,9.879997000000003,
101,2011-10-17,,-1.7900010000000037
102,2011-11-21,5.700005000000004,
103,2011-12-08,11.389991000000009,
104,2012-04-11,,-3.7099910000000023
105,2012-06-18,10.699996999999996,
106,2012-10-11,,-2.0699920000000134
107,2012-12-10,,-2.550003000000004
108,2012-12-31,6.33000100000001,
109,2013-01-03,3.729996,
110,2013-02-26,5.119995000000017,
111,2013-03-06,,-0.3399960000000135
112,2013-04-19,4.770004,
113,2013-04-30,1.929992999999996,
114,2013-06-06,6.190001999999993,
115,2013-07-12,,-1.3300009999999816
116,2013-08-16,3.279998000000006,
117,2013-09-12,,-1.940002000000021
118,2013-10-08,6.460007000000019,
119,2013-10-18,4.639998999999989,
120,2013-12-13,2.679992999999996,
121,2013-12-19,,-2.1199949999999887
122,2014-01-27,6.0,
123,2014-02-25,0.050003000000003794,
124,2014-03-28,4.059996999999981,
125,2014-04-03,,-4.910002999999989
126,2014-04-08,3.7400049999999965,
127,2014-05-06,4.559998000000007,
128,2014-08-01,6.529998000000006,
129,2014-08-21,,-1.0500030000000038
130,2014-09-24,0.5100099999999941,
131,2014-10-29,5.3300020000000075,
132,2014-12-11,4.339995999999985,
133,2014-12-29,,-9.449996999999996
134,2015-01-16,7.789994000000007,
135,2015-02-06,,-1.2700049999999976
136,2015-03-11,4.860000999999983,
137,2015-04-23,,-0.5099950000000035
138,2015-06-08,3.110001000000011,
139,2015-07-20,,-11.020004
140,2015-08-21,,-0.3499909999999886
141,2015-10-09,0.6900019999999927,
142,2015-12-14,,-8.070007000000004
143,2016-02-23,10.96000699999999,
144,2016-05-16,4.479995000000002,
145,2016-05-26,,-7.850005999999979
146,2016-06-27,11.60000599999998,
147,2016-07-11,,-0.8000030000000038
148,2016-09-12,4.910004000000015,
149,2016-11-10,16.470000999999996,
150,2017-03-22,4.139999999999986,
151,2017-04-25,4.5899960000000135,
152,2017-06-28,2.9700009999999963,
153,2017-07-17,,-1.4499969999999962
154,2017-08-11,5.610001000000011,
155,2017-09-12,10.309996999999981,
156,2018-02-06,19.260010000000023,
157,2018-03-12,,-15.029999000000032
158,2018-03-23,7.989991000000032,
159,2018-05-11,,-2.869995000000017
160,2018-06-28,9.880003999999985,
161,2018-07-13,7.879975000000002,
162,2018-10-08,,-6.94000299999999
163,2018-11-08,,-14.32998600000002
164,2018-11-26,,-4.950011999999958
165,2019-01-16,24.400023999999974,
166,2019-05-09,5.759978999999987,
167,2019-06-11,2.86001600000003,
168,2019-08-02,2.94000299999999,
169,2019-09-05,,-5.290008999999998
170,2019-10-02,7.190001999999993,
171,2019-10-18,24.660004000000015,
172,2020-02-03,10.559998000000007,
173,2020-02-06,,-19.73001099999999
174,2020-02-26,,-36.60000600000001
175,2020-04-09,23.830016999999998,
176,2020-06-29,18.720000999999968,
177,2020-07-13,5.570007000000032,
178,2020-09-21,17.149993999999992,
179,2020-10-08,,-15.940001999999993
180,2020-10-29,26.579985999999963,
181,2020-11-10,26.970001000000025,
182,2021-03-05,11.610015999999973,
183,2021-03-12,15.0,
184,2021-05-13,15.51998900000001,
185,2021-06-07,,-5.790008
186,2021-06-21,10.370024999999998,
187,2021-06-28,7.709992,
188,2021-09-20,9.089996000000042,
189,2021-10-18,20.10000599999995,
190,2021-11-29,6.119995000000017,
191,2021-12-13,,-16.440001999999993
192,2022-01-20,,-15.75
193,2022-03-18,,-1.1900019999999927
194,2022-04-18,,-24.410004000000015
195,2022-06-03,,-35.549987999999985
196,2022-06-14,,0.0
