week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
7/2/2022,usa,18.30%,29.40%,-2,-5.40%,7.50%,0.40%,97.40%,2.50%
6/25/2022,usa,15.70%,24.80%,-3,-8.60%,4.70%,0.30%,98.20%,2.50%
6/18/2022,usa,16.90%,20.70%,-4,-11.10%,6.40%,0.60%,112.30%,2.80%
6/11/2022,usa,16.90%,16.70%,-4,-11.40%,2.60%,0.40%,85.30%,2.10%
6/4/2022,usa,16.90%,13.40%,-5,-13.90%,1.90%,0.40%,82.10%,1.80%
5/28/2022,usa,18.20%,11.20%,-6,-16.20%,2.20%,0.40%,70.60%,1.60%
5/21/2022,usa,16.60%,8.60%,-6,-16.70%,6.30%,0.90%,71.90%,1.60%
5/14/2022,usa,15.90%,5.00%,-6,-16.20%,5.80%,1.10%,57.80%,1.30%
5/7/2022,usa,15.80%,0.20%,-6,-15.80%,3.80%,1.00%,54.10%,1.20%
4/30/2022,usa,14.70%,-3.40%,-7,-17.50%,3.00%,1.10%,40.00%,1.00%
4/23/2022,usa,14.40%,-5.90%,-6,-15.40%,4.10%,1.30%,27.50%,0.70%
4/16/2022,usa,13.60%,-12.60%,-6,-15.00%,-12.80%,-0.20%,9.20%,0.40%
4/9/2022,usa,14.90%,-12.30%,-6,-15.00%,1.10%,1.10%,14.50%,0.50%
4/2/2022,usa,15.30%,-12.90%,-9,-20.00%,8.40%,1.80%,15.20%,0.50%
3/26/2022,usa,15.30%,-16.70%,-10,-21.70%,-3.80%,0.80%,-1.00%,0.20%
3/19/2022,usa,14.20%,-18.30%,-10,-21.30%,-4.70%,0.70%,-3.00%,0.20%
3/12/2022,usa,12.90%,-19.60%,-11,-22.40%,-3.70%,0.90%,-7.40%,0.10%
3/5/2022,usa,14.30%,-19.90%,-11,-21.20%,-2.50%,1.00%,-14.20%,0.00%
2/26/2022,usa,14.00%,22.20%,-13,-23.60%,2.10%,1.30%,-14.00%,0.00%
2/19/2022,usa,12.90%,-23.00%,-20,-31.70%,21.30%,2.70%,-0.90%,0.20%
2/12/2022,usa,12.80%,-25.90%,-13,-20.30%,-3.10%,1.10%,-15.90%,0.00%
2/5/2022,usa,11.90%,-26.70%,-10,-15.20%,-7.40%,0.90%,-25.40%,-0.20%
1/29/2022,usa,11.80%,-27.50%,-12,-17.10%,-7.20%,0.80%,-27.10%,-0.30%
1/22/2022,usa,11.70%,-28.40%,-10,-14.30%,-8.30%,0.80%,-27.80%,-0.30%
1/15/2022,usa,10.30%,-28.40%,-10,-14.10%,-9.10%,0.80%,-29.70%,-0.40%
1/8/2022,usa,10.30%,-29.10%,-9,-12.70%,-13.00%,0.50%,-30.20%,-0.40%
1/1/2022,usa,10.50%,-29.60%,-9,-12.50%,-14.80%,0.20%,-26.30%,-0.20%
12/25/2021,usa,10.60%,-28.40%,-10,-14.70%,2.20%,0.80%,-11.70%,0.10%
12/18/2021,usa,10.30%,-27.10%,-10,-15.40%,-3.50%,0.80%,-19.30%,-0.10%
12/11/2021,usa,9.60%,-26.60%,-11,-17.50%,-6.20%,0.70%,-20.40%,-0.10%
12/4/2021,usa,9.00%,-25.60%,-9,-14.80%,1.10%,1.10%,-19.90%,-0.20%
11/27/2021,usa,8.90%,-26.50%,-8,-13.80%,-10.50%,0.30%,-23.10%,-0.20%
11/20/2021,usa,8.60%,-27.40%,-11,-19.00%,-1.20%,1.20%,-18.10%,-0.10%
11/13/2021,usa,8.70%,-24.60%,-10,-18.20%,1.50%,1.20%,-18.30%,-0.20%
11/6/2021,usa,8.60%,-24.00%,-7,-13.20%,7.90%,1.70%,-7.10%,0.20%
10/30/2021,usa,8.50%,-23.80%,-7,-13.50%,-1.80%,1.00%,-8.10%,0.20%
10/23/2021,usa,8.60%,-23.40%,-8,-15.70%,-5.50%,0.80%,-14.10%,0.00%
10/16/2021,usa,8.60%,-22.50%,-8,-15.70%,-2.80%,1.00%,-9.70%,0.20%
10/9/2021,usa,8.60%,-22.90%,-7,-14.00%,-4.80%,0.90%,-11.50%,0.10%
10/2/2021,usa,8.50%,-23.10%,-7,-13.70%,-11.10%,0.40%,-6.70%,0.40%
9/25/2021,usa,8.60%,-22.60%,-8,-15.70%,-6.90%,0.50%,-3.20%,0.40%
9/18/2021,usa,8.60%,-22.40%,-9,-17.60%,-3.30%,0.80%,-4.40%,0.30%
9/11/2021,usa,10.00%,-23.10%,-11,-21.60%,0.70%,1.10%,-5.50%,0.30%
9/4/2021,usa,8.30%,-24.40%,-11,-21.20%,-9.30%,0.40%,-9.10%,0.20%
8/28/2021,usa,8.50%,-24.50%,-13,-25.00%,0.60%,1.10%,-7.70%,0.20%
8/21/2021,usa,8.60%,-25.60%,-14,-26.90%,0.50%,1.20%,-7.10%,0.20%
8/14/2021,usa,9.70%,-27.00%,-16,-30.20%,5.40%,1.70%,-10.10%,0.10%
8/7/2021,usa,8.90%,-28.70%,-16,-30.20%,0.40%,1.40%,-12.90%,0.10%
7/31/2021,usa,10.00%,-30.10%,-19,-33.90%,3.90%,1.70%,-12.80%,0.10%
7/24/2021,usa,10.00%,-31.90%,-20,-35.70%,7.50%,2.00%,-19.20%,-0.20%
7/17/2021,usa,10.30%,-34.30%,-21,-36.80%,8.60%,2.20%,-24.30%,-0.40%
7/10/2021,usa,11.20%,-36.70%,-23,-39.70%,3.20%,1.90%,-36.70%,-0.80%
7/3/2021,usa,9.90%,-40.40%,-22,-37.30%,-0.70%,1.70%,-29.00%,-0.40%
6/26/2021,usa,12.80%,-40.70%,-27,-43.50%,12.60%,2.70%,-37.30%,-0.80%
6/19/2021,usa,11.60%,-43.50%,-30,-45.50%,4.00%,2.20%,-42.80%,-1.00%
6/12/2021,usa,13.20%,-45.50%,-36,-50.70%,8.10%,2.50%,-45.10%,-1.20%
6/5/2021,usa,13.30%,-47.30%,-37,-50.70%,-1.10%,1.90%,-53.40%,-1.50%
5/29/2021,usa,12.20%,-51.00%,-37,-50.00%,16.40%,3.00%,-48.20%,-1.10%
5/22/2021,usa,14.90%,-50.80%,-36,-50.00%,14.30%,3.00%,-53.40%,-1.50%
5/15/2021,usa,16.40%,-52.40%,-34,-47.90%,13.90%,2.90%,-54.40%,-1.60%
5/8/2021,usa,15.20%,-53.40%,-30,-44.10%,14.30%,2.90%,-56.20%,-1.60%
5/1/2021,usa,15.40%,-53.50%,-27,-40.30%,27.20%,3.40%,-51.80%,-1.40%
4/24/2021,usa,15.40%,-54.30%,-26,-40.00%,43.80%,4.10%,-48.90%,-1.10%
4/17/2021,usa,16.60%,-54.40%,-24,-37.50%,57.50%,4.70%,-47.00%,-1.00%
4/10/2021,usa,15.60%,-54.80%,-20,-33.30%,52.70%,4.70%,-44.40%,-0.80%
4/3/2021,usa,13.20%,-55.60%,-14,-23.70%,1.20%,2.30%,-52.80%,-1.10%
3/27/2021,usa,12.50%,-54.60%,-12,-20.70%,20.50%,3.40%,-45.50%,-0.70%
3/20/2021,usa,12.20%,-53.90%,-11,-19.00%,-2.10%,2.30%,-59.70%,-1.50%
3/13/2021,usa,10.70%,-53.10%,-10,-16.90%,-11.80%,1.70%,-63.80%,-1.90%
3/6/2021,usa,9.40%,-52.40%,-8,-13.30%,-15.50%,1.30%,-62.60%,-1.90%
2/27/2021,usa,11.10%,-51.50%,-17,-23.60%,-16.50%,0.90%,-63.90%,-1.90%
2/20/2021,usa,12.40%,-51.10%,-12,-16.00%,-25.00%,0.20%,-66.20%,-1.90%
2/13/2021,usa,11.50%,-49.60%,-15,-19.00%,-13.00%,1.10%,-61.30%,-1.70%
2/6/2021,usa,12.00%,-48.60%,-15,-18.50%,-15.40%,0.90%,-57.80%,-1.70%
1/30/2021,usa,13.30%,-46.90%,-14,-16.70%,-8.70%,1.20%,-53.20%,-1.50%
